time,value
1645343060000,0.1063435735
1645799771000,0.1413462533
1643731574000,0.0373289706
1645534917000,0.1933671917
1645881479000,-0.1221919282
1644552154000,-0.1778075408
1644171052000,-0.2688664202
1643827663000,-0.1011829049
1645673633000,-0.0463323214
1645119377000,-0.2162654668
1644038701000,0.2680340619
1645058918000,-0.0288904173
1643880041000,0.0804983286
1645744877000,0.0828198062
1645403668000,0.2368045351
1645322842000,-0.3658627047
1645305624000,-0.2719289020
1645430775000,-0.1403125402
1644767653000,-0.1142019323
1644604915000,-0.0052879950
